date,state,n_killed,n_injured,n_total
1/1/13,Pennsylvania,0,4,4
1/1/13,California,1,3,4
1/1/13,Ohio,1,3,4
1/5/13,Colorado,4,0,4
1/7/13,North Carolina,2,2,4
1/7/13,Oklahoma,4,0,4
1/19/13,New Mexico,5,0,5
1/21/13,Louisiana,0,5,5
1/21/13,California,0,4,4
1/23/13,Maryland,1,6,7
1/23/13,Tennessee,1,3,4
1/25/13,Missouri,1,3,4
1/26/13,Louisiana,2,3,5
1/26/13,District of Columbia,0,5,5
1/26/13,Ohio,1,3,4
2/2/13,Tennessee,0,5,5
2/3/13,California,1,3,4
2/7/13,Illinois,0,4,4
2/9/13,Louisiana,0,4,4
2/11/13,California,1,4,5
2/11/13,Delaware,3,2,5
2/12/13,Utah,4,1,5
2/19/13,California,4,3,7
2/21/13,Oklahoma,1,3,4
2/22/13,Michigan,0,4,4
2/23/13,California,0,4,4
2/24/13,Georgia,0,8,8
3/2/13,Louisiana,1,3,4
3/3/13,Georgia,2,2,4
3/3/13,Michigan,0,4,4
3/4/13,California,1,3,4
3/5/13,Indiana,1,3,4
3/7/13,Mississippi,2,2,4
3/10/13,Missouri,0,5,5
3/11/13,District of Columbia,0,13,13
3/13/13,California,2,2,4
3/13/13,New York,6,2,8
3/14/13,California,0,4,4
3/16/13,California,0,7,7
3/17/13,California,2,3,5
3/17/13,Florida,0,5,5
3/21/13,Illinois,0,7,7
3/21/13,Missouri,1,3,4
3/22/13,New York,1,3,4
3/30/13,California,3,2,5
3/31/13,Washington,3,2,5
4/6/13,South Carolina,1,4,5
4/7/13,New York,1,3,4
4/7/13,California,1,3,4
4/9/13,Pennsylvania,1,3,4
4/10/13,California,0,4,4
4/14/13,Arizona,2,4,6
4/14/13,Kentucky,1,4,5
4/18/13,Ohio,4,0,4
4/21/13,Washington,5,0,5
4/22/13,Illinois,0,4,4
4/22/13,Louisiana,0,5,5
4/24/13,Illinois,6,1,7
4/25/13,Ohio,0,4,4
4/27/13,Florida,1,3,4
4/28/13,North Carolina,0,5,5
4/28/13,Pennsylvania,1,3,4
4/28/13,Tennessee,2,2,4
5/2/13,Maryland,1,0,1
5/2/13,New Jersey,0,5,5
5/4/13,North Carolina,0,4,4
5/5/13,California,0,5,5
5/6/13,Pennsylvania,0,4,4
5/10/13,California,3,1,4
5/11/13,Indiana,5,0,5
5/11/13,Pennsylvania,0,4,4
5/11/13,New Jersey,0,4,4
5/12/13,Arizona,0,5,5
5/12/13,Louisiana,0,19,19
5/13/13,Ohio,0,4,4
5/14/13,New Jersey,0,2,2
5/15/13,Michigan,1,4,5
5/16/13,Pennsylvania,0,4,4
5/18/13,New York,1,0,1
5/18/13,Virginia,0,4,4
5/19/13,Tennessee,2,2,4
5/19/13,Michigan,0,4,4
5/20/13,Illinois,0,4,4
5/23/13,Tennessee,2,2,4
5/24/13,California,2,2,4
5/25/13,Michigan,1,3,4
5/25/13,Virginia,1,4,5
5/28/13,Tennessee,1,3,4
5/29/13,Illinois,0,4,4
5/31/13,Georgia,0,4,4
6/1/13,Wisconsin,0,4,4
6/1/13,California,2,2,4
6/2/13,Indiana,0,4,4
6/2/13,Virginia,0,7,7
6/2/13,Georgia,0,7,7
6/7/13,California,6,1,7
6/9/13,Pennsylvania,0,4,4
6/10/13,Missouri,0,6,6
6/10/13,Illinois,1,4,5
6/14/13,North Carolina,0,5,5
6/15/13,Rhode Island,1,3,4
6/15/13,Tennessee,0,4,4
6/15/13,Texas,1,3,4
6/16/13,Illinois,1,3,4
6/21/13,Illinois,1,3,4
6/21/13,Virginia,0,6,6
6/21/13,North Carolina,0,5,5
6/22/13,Maryland,1,4,5
6/22/13,Rhode Island,0,4,4
6/23/13,Tennessee,1,4,5
6/23/13,California,1,3,4
6/23/13,Missouri,1,8,9
6/23/13,Louisiana,0,4,4
6/23/13,Virginia,1,4,5
6/24/13,Missouri,1,3,4
6/25/13,Illinois,1,4,5
6/27/13,California,2,2,4
6/28/13,Illinois,0,6,6
6/29/13,South Carolina,3,1,4
6/30/13,New York,0,9,9
6/30/13,Colorado,0,4,4
7/1/13,New York,0,1,1
7/1/13,Texas,4,0,4
7/2/13,New Jersey,1,0,1
7/4/13,Illinois,0,4,4
7/4/13,Michigan,1,6,7
7/6/13,New York,1,3,4
7/6/13,Alabama,0,4,4
7/7/13,Illinois,0,5,5
7/7/13,Mississippi,0,4,4
7/7/13,California,1,4,5
7/7/13,Florida,1,3,4
7/9/13,Maryland,0,4,4
7/9/13,Illinois,2,2,4
7/11/13,North Carolina,2,2,4
7/12/13,California,1,3,4
7/12/13,Kentucky,2,2,4
7/13/13,Ohio,0,4,4
7/13/13,District of Columbia,0,4,4
7/13/13,Oklahoma,1,3,4
7/13/13,New Jersey,1,4,5
7/14/13,Michigan,0,5,5
7/14/13,Kansas,1,4,5
7/17/13,California,1,3,4
7/19/13,California,0,4,4
7/19/13,Connecticut,0,4,4
7/20/13,New York,0,5,5
7/21/13,New York,0,4,4
7/24/13,Kansas,0,4,4
7/25/13,Michigan,0,4,4
7/26/13,West Virginia,4,0,4
7/26/13,Florida,7,0,7
7/28/13,Texas,0,4,4
7/29/13,Washington,0,4,4
7/30/13,New Mexico,0,4,4
